Time,Wave Probe C,Wave Probe G,Wave Probe L
0.0625,-54.01395101,221.2844932,-129.9003447
0.125,-18.44595101,224.0074932,-114.1763447
0.1875,-0.781951007,202.7374932,-96.42534468
0.25,17.39404899,173.0224932,-73.74924468
0.3125,61.44204899,145.8124932,-32.29174468
0.375,118.258049,135.1544932,7.10574532
0.4375,144.626049,142.5794932,43.67075532
0.5,153.586049,124.2794932,88.45965532
0.5625,177.650049,96.54449318,136.0976553
0.625,218.098049,93.57449318,180.3876553
0.6875,254.722049,107.9444932,202.0176553
0.75,262.898049,102.2374932,217.7246553
0.8125,252.402049,81.19949318,240.1436553
0.875,223.234049,76.01749318,257.9106553
0.9375,199.666049,86.14949318,268.9676553
1,174.594049,89.62999318,268.4526553
1.0625,148.466049,64.86449318,255.0786553
1.125,117.490049,33.94249318,233.9476553
1.1875,80.11404899,17.09699318,194.2926553
1.25,44.01804899,14.12699318,149.7446553
1.3125,17.39404899,5.464493181,108.3036553
1.375,1.522048993,-32.40300682,74.82825532
1.4375,-4.861951007,-71.01300682,39.79215532
1.5,-8.461951007,-95.76300682,2.21324532
1.5625,-21.75795101,-115.7955068,-28.96034468
1.625,-44.30195101,-137.8225068,-46.21284468
1.6875,-60.17395101,-166.7955068,-53.93784468
1.75,-68.36595101,-191.5455068,-68.35784468
1.8125,-73.99795101,-202.4355068,-90.48674468
1.875,-79.61395101,-203.6735068,-103.3783447
1.9375,-85.26195101,-200.4555068,-110.3303447
2,-86.52595101,-191.5455068,-117.7983447
2.0625,-81.93395101,-175.7055068,-123.1893447
2.125,-77.32595101,-150.4605068,-115.4803447
2.1875,-78.58995101,-118.5335068,-105.6793447
2.25,-87.03795101,-81.88750682,-107.2243447
2.3125,-99.59795101,-48.98550682,-110.8453447
2.375,-121.357951,-23.74050682,-111.8753447
2.4375,-141.581951,12.16249318,-111.8753447
2.5,-157.197951,48.03449318,-115.7383447
2.5625,-167.437951,62.88449318,-126.0383447
2.625,-174.349951,51.26749318,-131.6863447
2.6875,-178.941951,36.41749318,-129.9003447
2.75,-170.237951,34.93249318,-121.3863447
2.8125,-155.917951,52.48949318,-109.8153447
2.875,-143.101951,70.30949318,-99.49934468
2.9375,-124.941951,44.83249318,-92.82034468
3,-97.80595101,10.67746318,-86.12534468
3.0625,-63.74195101,0.266993181,-77.37034468
3.125,-20.73395101,2.262462181,-71.68924468
3.1875,22.77004899,-25.22550682,-59.86034468
3.25,65.77804899,-69.77550682,-41.04674468
3.3125,103.666049,-96.75300682,-25.59674468
3.375,131.314049,-104.6735068,-8.34424468
3.4375,149.250049,-102.1985068,7.36324532
3.5,158.210049,-107.6275068,36.18715532
